"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","PPI","DOMESTIC","IDX2015","A","1991",78.37032,
"DEU","PPI","DOMESTIC","IDX2015","A","1992",79.64143,
"DEU","PPI","DOMESTIC","IDX2015","A","1993",79.69086,
"DEU","PPI","DOMESTIC","IDX2015","A","1994",80.21342,
"DEU","PPI","DOMESTIC","IDX2015","A","1995",81.8855,
"DEU","PPI","DOMESTIC","IDX2015","A","1996",81.99811,
"DEU","PPI","DOMESTIC","IDX2015","A","1997",82.52359,
"DEU","PPI","DOMESTIC","IDX2015","A","1998",82.35844,
"DEU","PPI","DOMESTIC","IDX2015","A","1999",82.14074,
"DEU","PPI","DOMESTIC","IDX2015","A","2000",84.70811,
"DEU","PPI","DOMESTIC","IDX2015","A","2001",85.79661,
"DEU","PPI","DOMESTIC","IDX2015","A","2002",85.98428,
"DEU","PPI","DOMESTIC","IDX2015","A","2003",86.49475,
"DEU","PPI","DOMESTIC","IDX2015","A","2004",87.98862,
"DEU","PPI","DOMESTIC","IDX2015","A","2005",90.07555,
"DEU","PPI","DOMESTIC","IDX2015","A","2006",92.185,
"DEU","PPI","DOMESTIC","IDX2015","A","2007",94.27943,
"DEU","PPI","DOMESTIC","IDX2015","A","2008",97.16959,
"DEU","PPI","DOMESTIC","IDX2015","A","2009",93.91159,
"DEU","PPI","DOMESTIC","IDX2015","A","2010",96.24354,
"DEU","PPI","DOMESTIC","IDX2015","A","2011",100.2453,
"DEU","PPI","DOMESTIC","IDX2015","A","2012",101.729,
"DEU","PPI","DOMESTIC","IDX2015","A","2013",101.7209,
"DEU","PPI","DOMESTIC","IDX2015","A","2014",101.32,
"DEU","PPI","DOMESTIC","IDX2015","A","2015",100.0083,
"DEU","PPI","DOMESTIC","IDX2015","A","2016",99.46667,
"DEU","PPI","DOMESTIC","IDX2015","A","2017",102.05,
"DEU","PPI","DOMESTIC","IDX2015","A","2018",104.1583,
"DEU","PPI","DOMESTIC","IDX2015","A","2019",105.1167,
"DEU","PPI","DOMESTIC","IDX2015","A","2020",104.7,
"DEU","PPI","DOMESTIC","IDX2015","A","2021",110.8,
"DEU","PPI","DOMESTIC","IDX2015","A","2022",127.5667,
