GENESIS-Tabelle: 61111-0021
Index der Nettokaltmieten: Bundesl�nder, Monate;;;;;;;;;;;;;;;;;
Verbraucherpreisindex f�r Deutschland;;;;;;;;;;;;;;;;;
Index der Nettokaltmieten (2020=100);;;;;;;;;;;;;;;;;
;;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen
2019;Januar;96,8;97,9;98,6;97,8;95,4;98,7;97,9;98,2;98,2;98,8;98,0;97,9;98,9;98,0;97,6;95,7
2019;Februar;97,0;98,0;99,0;98,4;95,5;98,9;98,2;98,4;98,2;98,8;98,1;97,9;99,0;98,1;97,7;95,8
2019;M�rz;97,1;98,0;99,0;98,4;95,7;99,0;98,4;98,4;98,4;98,9;98,3;98,1;99,1;98,1;97,8;96,0
2019;April;97,3;98,2;99,2;98,6;95,7;99,0;98,5;98,6;98,6;99,1;98,5;98,2;99,1;98,2;97,9;96,1
2019;Mai;97,5;98,3;99,2;98,7;95,9;99,0;98,6;98,7;98,6;99,1;98,6;98,1;99,2;98,4;98,4;96,1
2019;Juni;97,6;98,3;99,3;98,7;95,9;99,2;98,8;99,0;98,9;99,2;98,7;98,1;99,4;98,4;98,5;96,2
2019;Juli;97,8;98,5;99,5;98,9;96,2;99,3;98,8;99,0;99,1;99,2;98,9;99,0;99,4;98,4;98,7;96,1
2019;August;98,0;98,5;99,4;99,1;97,2;99,3;98,9;99,4;99,1;99,3;98,9;99,0;99,5;98,6;98,7;96,1
2019;September;98,2;98,6;99,5;99,2;97,4;99,3;99,0;99,5;99,4;99,3;99,0;99,0;99,5;98,6;98,7;96,3
2019;Oktober;98,4;98,9;99,6;99,3;97,4;99,5;99,1;99,5;99,5;99,5;99,1;99,1;99,6;98,6;98,8;96,3
2019;November;98,5;99,0;99,7;99,4;97,4;99,5;99,3;99,6;99,6;99,7;99,1;99,1;99,7;98,8;98,8;96,5
2019;Dezember;98,6;99,1;99,8;99,4;97,4;99,5;99,4;99,6;99,8;99,8;99,3;99,1;99,8;98,8;98,9;96,6
2020;Januar;98,7;99,4;99,9;99,5;97,6;99,7;99,5;99,6;99,5;99,6;99,6;99,5;99,8;98,8;99,5;96,6
2020;Februar;98,9;99,6;100,0;99,6;97,6;99,7;99,6;99,6;99,6;99,7;99,6;99,5;99,9;100,0;99,5;96,6
2020;M�rz;99,6;99,7;100,0;99,7;97,7;99,8;99,9;99,8;99,9;99,7;99,9;99,7;99,9;100,0;99,6;99,7
2020;April;99,7;99,7;100,0;99,8;97,8;99,9;100,0;99,8;99,9;99,8;99,9;99,8;99,9;100,0;99,7;99,7
2020;Mai;99,9;99,8;100,0;100,0;98,0;99,9;100,0;99,9;99,9;99,9;99,9;99,8;99,9;100,1;99,8;99,7
2020;Juni;100,0;99,8;100,0;100,0;98,0;99,9;100,1;99,9;100,0;99,9;100,0;99,9;100,0;100,1;100,1;100,9
2020;Juli;100,0;100,2;100,0;100,0;98,0;100,0;100,2;99,9;100,0;100,1;100,0;100,1;100,0;100,1;100,1;100,9
2020;August;100,1;100,2;100,0;100,1;103,1;100,1;100,1;100,0;100,0;100,2;100,1;100,3;99,9;100,1;100,2;101,2
2020;September;100,4;100,3;100,0;100,1;103,1;100,1;100,2;100,3;100,1;100,2;100,1;100,3;100,1;100,1;100,2;101,2
2020;Oktober;100,6;100,4;100,0;100,1;103,1;100,2;100,1;100,3;100,2;100,3;100,2;100,3;100,1;100,1;100,3;101,2
2020;November;101,0;100,4;100,1;100,2;103,1;100,3;100,1;100,4;100,2;100,3;100,3;100,3;100,2;100,3;100,5;101,2
2020;Dezember;101,1;100,5;100,0;100,7;103,1;100,4;100,2;100,4;100,8;100,4;100,3;100,3;100,4;100,3;100,5;101,2
2021;Januar;101,5;100,6;99,8;100,7;103,2;100,4;100,3;100,4;100,8;100,5;100,3;100,5;100,5;100,5;100,6;101,2
2021;Februar;101,6;100,7;99,5;100,8;103,8;100,4;100,4;100,5;100,9;100,6;100,4;100,5;100,5;100,5;100,7;101,3
2021;M�rz;101,7;100,8;99,5;101,1;103,9;100,5;100,5;100,5;101,1;100,7;100,6;100,6;101,6;100,5;100,7;101,3
2021;April;101,7;101,0;99,6;101,3;103,9;100,5;100,6;100,5;101,1;100,9;100,6;101,1;101,7;100,6;100,8;101,3
