"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2022",59407.8899794982,
"AUT","AVWAGE","TOT","USD","A","2022",63801.6204977341,
"BEL","AVWAGE","TOT","USD","A","2022",64847.6238808182,
"CAN","AVWAGE","TOT","USD","A","2022",59050.4072819159,
"CZE","AVWAGE","TOT","USD","A","2022",33475.5197359288,
"DNK","AVWAGE","TOT","USD","A","2022",64126.6516163185,
"FIN","AVWAGE","TOT","USD","A","2022",51835.873940956,
"FRA","AVWAGE","TOT","USD","A","2022",52763.5938000769,
"DEU","AVWAGE","TOT","USD","A","2018",59750,
"DEU","AVWAGE","TOT","USD","A","2019",60732,
"DEU","AVWAGE","TOT","USD","A","2020",60309,
"DEU","AVWAGE","TOT","USD","A","2021",60291.2417705174,
"DEU","AVWAGE","TOT","USD","A","2022",58940.3277991669,
"GRC","AVWAGE","TOT","USD","A","2022",25978.9792401445,
"HUN","AVWAGE","TOT","USD","A","2022",28474.6432386423,
"IRL","AVWAGE","TOT","USD","A","2022",52242.6173957582,
"ITA","AVWAGE","TOT","USD","A","2022",44893.3346677501,
"JPN","AVWAGE","TOT","USD","A","2022",41509.2047666572,
"KOR","AVWAGE","TOT","USD","A","2022",48921.9348572703,
"LUX","AVWAGE","TOT","USD","A","2022",78310.1451192439,
"MEX","AVWAGE","TOT","USD","A","2022",16685.3714700068,
"NLD","AVWAGE","TOT","USD","A","2022",63224.9895974904,
"NOR","AVWAGE","TOT","USD","A","2022",53755.9403720413,
"POL","AVWAGE","TOT","USD","A","2022",36896.5592419597,
"PRT","AVWAGE","TOT","USD","A","2022",31921.6599934728,
"SVK","AVWAGE","TOT","USD","A","2022",26262.8435293797,
"ESP","AVWAGE","TOT","USD","A","2022",42859.3360397206,
"SWE","AVWAGE","TOT","USD","A","2022",50406.8307417441,
"CHE","AVWAGE","TOT","USD","A","2022",72993.0243352433,
"GBR","AVWAGE","TOT","USD","A","2022",53985.0604733962,
"USA","AVWAGE","TOT","USD","A","2022",77463.4730245547,
"EST","AVWAGE","TOT","USD","A","2022",34704.5715238033,
"ISR","AVWAGE","TOT","USD","A","2022",44155.9454178794,
"SVN","AVWAGE","TOT","USD","A","2022",47203.6274349093,
"OECD","AVWAGE","TOT","USD","A","2022",53415.8435243834,
"ISL","AVWAGE","TOT","USD","A","2022",79473.3592943684,
"NZL","AVWAGE","TOT","USD","A","2022",50722.4543013716,
"CHL","AVWAGE","TOT","USD","A","2021",33042.3321032483,
"LVA","AVWAGE","TOT","USD","A","2022",34136.1548723268,
"LTU","AVWAGE","TOT","USD","A","2022",43874.581550348,
"TUR","AVWAGE","TOT","USD","A","2020",31761,
"COL","AVWAGE","TOT","USD","A","2021",22248.491555719,
"CRI","AVWAGE","TOT","USD","A","2021",31117.8342634137,
