STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AL,Albania,2016,,101.51,,d,definition differs (see metadata)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AL,Albania,2017,,104.76,,d,definition differs (see metadata)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AL,Albania,2018,,106.59,,d,definition differs (see metadata)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AL,Albania,2019,,108.39,,d,definition differs (see metadata)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AL,Albania,2020,,110.74,,d,definition differs (see metadata)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AL,Albania,2021,,113.26,,d,definition differs (see metadata)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AL,Albania,2022,,120.69,,d,definition differs (see metadata)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AT,Austria,2011,,93.35,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AT,Austria,2012,,95.75,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AT,Austria,2013,,97.77,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AT,Austria,2014,,99.20,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AT,Austria,2015,,100.00,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,AT,Austria,2016,,100.97,,,
