"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","AVWAGE","TOT","USD","A","1991",45193,
"DEU","AVWAGE","TOT","USD","A","1992",47965,
"DEU","AVWAGE","TOT","USD","A","1993",48281,
"DEU","AVWAGE","TOT","USD","A","1994",48388,
"DEU","AVWAGE","TOT","USD","A","1995",49414,
"DEU","AVWAGE","TOT","USD","A","1996",49981,
"DEU","AVWAGE","TOT","USD","A","1997",49770,
"DEU","AVWAGE","TOT","USD","A","1998",50379,
"DEU","AVWAGE","TOT","USD","A","1999",51050,
"DEU","AVWAGE","TOT","USD","A","2000",51344,
"DEU","AVWAGE","TOT","USD","A","2001",51718,
"DEU","AVWAGE","TOT","USD","A","2002",52022,
"DEU","AVWAGE","TOT","USD","A","2003",52195,
"DEU","AVWAGE","TOT","USD","A","2004",52188,
"DEU","AVWAGE","TOT","USD","A","2005",52377,
"DEU","AVWAGE","TOT","USD","A","2006",52367,
"DEU","AVWAGE","TOT","USD","A","2007",52208,
"DEU","AVWAGE","TOT","USD","A","2008",52442,
"DEU","AVWAGE","TOT","USD","A","2009",52453,
"DEU","AVWAGE","TOT","USD","A","2010",52912,
"DEU","AVWAGE","TOT","USD","A","2011",53980,
"DEU","AVWAGE","TOT","USD","A","2012",54699,
"DEU","AVWAGE","TOT","USD","A","2013",55215,
"DEU","AVWAGE","TOT","USD","A","2014",56141,
"DEU","AVWAGE","TOT","USD","A","2015",57431,
"DEU","AVWAGE","TOT","USD","A","2016",58311,
"DEU","AVWAGE","TOT","USD","A","2017",58924,
"DEU","AVWAGE","TOT","USD","A","2018",59750,
"DEU","AVWAGE","TOT","USD","A","2019",60732,
"DEU","AVWAGE","TOT","USD","A","2020",60309,
"DEU","AVWAGE","TOT","USD","A","2021",60291,
"DEU","AVWAGE","TOT","USD","A","2022",58940,
