"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","AVWAGE","TOT","USD","A","2010",62831,
"AUT","AVWAGE","TOT","USD","A","2011",62159,
"AUT","AVWAGE","TOT","USD","A","2012",62515,
"AUT","AVWAGE","TOT","USD","A","2013",62568,
"AUT","AVWAGE","TOT","USD","A","2014",62801,
"AUT","AVWAGE","TOT","USD","A","2015",63231,
"AUT","AVWAGE","TOT","USD","A","2016",63860,
"AUT","AVWAGE","TOT","USD","A","2017",63856,
"AUT","AVWAGE","TOT","USD","A","2018",64101,
"AUT","AVWAGE","TOT","USD","A","2019",64623,
"AUT","AVWAGE","TOT","USD","A","2020",64648,
"AUT","AVWAGE","TOT","USD","A","2021",65402.3162965476,
"AUT","AVWAGE","TOT","USD","A","2022",63801.6204977341,
"BEL","AVWAGE","TOT","USD","A","2010",63295,
"BEL","AVWAGE","TOT","USD","A","2011",63944,
"BEL","AVWAGE","TOT","USD","A","2012",64461,
"BEL","AVWAGE","TOT","USD","A","2013",65099,
"BEL","AVWAGE","TOT","USD","A","2014",65461,
"BEL","AVWAGE","TOT","USD","A","2015",65017,
"BEL","AVWAGE","TOT","USD","A","2016",65157,
"BEL","AVWAGE","TOT","USD","A","2017",64700,
"BEL","AVWAGE","TOT","USD","A","2018",65083,
"BEL","AVWAGE","TOT","USD","A","2019",65700,
"BEL","AVWAGE","TOT","USD","A","2020",63677,
"BEL","AVWAGE","TOT","USD","A","2021",65520.8213051768,
"BEL","AVWAGE","TOT","USD","A","2022",64847.6238808182,
"FIN","AVWAGE","TOT","USD","A","2010",49911,
"FIN","AVWAGE","TOT","USD","A","2011",49925,
"FIN","AVWAGE","TOT","USD","A","2012",49965,
"FIN","AVWAGE","TOT","USD","A","2013",49465,
"FIN","AVWAGE","TOT","USD","A","2014",49449,
"FIN","AVWAGE","TOT","USD","A","2015",49836,
"FIN","AVWAGE","TOT","USD","A","2016",50274,
"FIN","AVWAGE","TOT","USD","A","2017",49985,
"FIN","AVWAGE","TOT","USD","A","2018",50354,
"FIN","AVWAGE","TOT","USD","A","2019",50873,
"FIN","AVWAGE","TOT","USD","A","2020",51092,
"FIN","AVWAGE","TOT","USD","A","2021",52785.319629001,
"FIN","AVWAGE","TOT","USD","A","2022",51835.873940956,
"FRA","AVWAGE","TOT","USD","A","2010",49926,
"FRA","AVWAGE","TOT","USD","A","2011",49836,
"FRA","AVWAGE","TOT","USD","A","2012",50159,
"FRA","AVWAGE","TOT","USD","A","2013",50581,
"FRA","AVWAGE","TOT","USD","A","2014",50929,
"FRA","AVWAGE","TOT","USD","A","2015",51415,
"FRA","AVWAGE","TOT","USD","A","2016",52010,
"FRA","AVWAGE","TOT","USD","A","2017",52732,
"FRA","AVWAGE","TOT","USD","A","2018",52664,
"FRA","AVWAGE","TOT","USD","A","2019",53172,
"FRA","AVWAGE","TOT","USD","A","2020",50550,
"FRA","AVWAGE","TOT","USD","A","2021",52542.1889164276,
"FRA","AVWAGE","TOT","USD","A","2022",52763.5938000769,
"DEU","AVWAGE","TOT","USD","A","2010",52912,
"DEU","AVWAGE","TOT","USD","A","2011",53980,
"DEU","AVWAGE","TOT","USD","A","2012",54699,
"DEU","AVWAGE","TOT","USD","A","2013",55215,
"DEU","AVWAGE","TOT","USD","A","2014",56141,
"DEU","AVWAGE","TOT","USD","A","2015",57431,
"DEU","AVWAGE","TOT","USD","A","2016",58311,
"DEU","AVWAGE","TOT","USD","A","2017",58924,
"DEU","AVWAGE","TOT","USD","A","2018",59750,
"DEU","AVWAGE","TOT","USD","A","2019",60732,
"DEU","AVWAGE","TOT","USD","A","2020",60309,
"DEU","AVWAGE","TOT","USD","A","2021",60291.2417705174,
"DEU","AVWAGE","TOT","USD","A","2022",58940.3277991669,
"GRC","AVWAGE","TOT","USD","A","2010",35454,
"GRC","AVWAGE","TOT","USD","A","2011",33205,
"GRC","AVWAGE","TOT","USD","A","2012",31272,
"GRC","AVWAGE","TOT","USD","A","2013",29229,
"GRC","AVWAGE","TOT","USD","A","2014",29108,
"GRC","AVWAGE","TOT","USD","A","2015",29394,
"GRC","AVWAGE","TOT","USD","A","2016",28720,
"GRC","AVWAGE","TOT","USD","A","2017",28903,
"GRC","AVWAGE","TOT","USD","A","2018",27569,
"GRC","AVWAGE","TOT","USD","A","2019",27615,
"GRC","AVWAGE","TOT","USD","A","2020",27747,
"GRC","AVWAGE","TOT","USD","A","2021",27659.571732801,
"GRC","AVWAGE","TOT","USD","A","2022",25978.9792401445,
"IRL","AVWAGE","TOT","USD","A","2010",52793,
"IRL","AVWAGE","TOT","USD","A","2011",52035,
"IRL","AVWAGE","TOT","USD","A","2012",51578,
"IRL","AVWAGE","TOT","USD","A","2013",50323,
"IRL","AVWAGE","TOT","USD","A","2014",50080,
"IRL","AVWAGE","TOT","USD","A","2015",50079,
"IRL","AVWAGE","TOT","USD","A","2016",50593,
"IRL","AVWAGE","TOT","USD","A","2017",51180,
"IRL","AVWAGE","TOT","USD","A","2018",51852,
"IRL","AVWAGE","TOT","USD","A","2019",52648,
"IRL","AVWAGE","TOT","USD","A","2020",53651,
"IRL","AVWAGE","TOT","USD","A","2021",53209.4763980234,
"IRL","AVWAGE","TOT","USD","A","2022",52242.6173957582,
"ITA","AVWAGE","TOT","USD","A","2010",47629,
"ITA","AVWAGE","TOT","USD","A","2011",46866,
"ITA","AVWAGE","TOT","USD","A","2012",45379,
"ITA","AVWAGE","TOT","USD","A","2013",45527,
"ITA","AVWAGE","TOT","USD","A","2014",45704,
"ITA","AVWAGE","TOT","USD","A","2015",46103,
"ITA","AVWAGE","TOT","USD","A","2016",46469,
"ITA","AVWAGE","TOT","USD","A","2017",46169,
"ITA","AVWAGE","TOT","USD","A","2018",46230,
"ITA","AVWAGE","TOT","USD","A","2019",46460,
"ITA","AVWAGE","TOT","USD","A","2020",44246,
"ITA","AVWAGE","TOT","USD","A","2021",45960.645620873,
"ITA","AVWAGE","TOT","USD","A","2022",44893.3346677501,
"LUX","AVWAGE","TOT","USD","A","2010",71085,
"LUX","AVWAGE","TOT","USD","A","2011",71478,
"LUX","AVWAGE","TOT","USD","A","2012",70741,
"LUX","AVWAGE","TOT","USD","A","2013",71601,
"LUX","AVWAGE","TOT","USD","A","2014",72846,
"LUX","AVWAGE","TOT","USD","A","2015",73225,
"LUX","AVWAGE","TOT","USD","A","2016",72999,
"LUX","AVWAGE","TOT","USD","A","2017",73918,
"LUX","AVWAGE","TOT","USD","A","2018",74261,
"LUX","AVWAGE","TOT","USD","A","2019",74399,
"LUX","AVWAGE","TOT","USD","A","2020",74839,
"LUX","AVWAGE","TOT","USD","A","2021",79018.9025259162,
"LUX","AVWAGE","TOT","USD","A","2022",78310.1451192439,
"NLD","AVWAGE","TOT","USD","A","2010",66270,
"NLD","AVWAGE","TOT","USD","A","2011",65977,
"NLD","AVWAGE","TOT","USD","A","2012",66198,
"NLD","AVWAGE","TOT","USD","A","2013",66395,
"NLD","AVWAGE","TOT","USD","A","2014",66039,
"NLD","AVWAGE","TOT","USD","A","2015",66841,
"NLD","AVWAGE","TOT","USD","A","2016",67112,
"NLD","AVWAGE","TOT","USD","A","2017",66634,
"NLD","AVWAGE","TOT","USD","A","2018",65910,
"NLD","AVWAGE","TOT","USD","A","2019",65449,
"NLD","AVWAGE","TOT","USD","A","2020",67163,
"NLD","AVWAGE","TOT","USD","A","2021",66221.4846031508,
"NLD","AVWAGE","TOT","USD","A","2022",63224.9895974904,
"PRT","AVWAGE","TOT","USD","A","2010",31589,
"PRT","AVWAGE","TOT","USD","A","2011",30820,
"PRT","AVWAGE","TOT","USD","A","2012",29496,
"PRT","AVWAGE","TOT","USD","A","2013",30056,
"PRT","AVWAGE","TOT","USD","A","2014",29538,
"PRT","AVWAGE","TOT","USD","A","2015",29448,
"PRT","AVWAGE","TOT","USD","A","2016",29320,
"PRT","AVWAGE","TOT","USD","A","2017",29433,
"PRT","AVWAGE","TOT","USD","A","2018",29919,
"PRT","AVWAGE","TOT","USD","A","2019",31081,
"PRT","AVWAGE","TOT","USD","A","2020",31300,
"PRT","AVWAGE","TOT","USD","A","2021",32089.3779752031,
"PRT","AVWAGE","TOT","USD","A","2022",31921.6599934728,
"SVK","AVWAGE","TOT","USD","A","2010",22642,
"SVK","AVWAGE","TOT","USD","A","2011",22443,
"SVK","AVWAGE","TOT","USD","A","2012",22161,
"SVK","AVWAGE","TOT","USD","A","2013",22333,
"SVK","AVWAGE","TOT","USD","A","2014",22781,
"SVK","AVWAGE","TOT","USD","A","2015",23676,
"SVK","AVWAGE","TOT","USD","A","2016",24426,
"SVK","AVWAGE","TOT","USD","A","2017",25151,
"SVK","AVWAGE","TOT","USD","A","2018",25862,
"SVK","AVWAGE","TOT","USD","A","2019",26707,
"SVK","AVWAGE","TOT","USD","A","2020",27052,
"SVK","AVWAGE","TOT","USD","A","2021",27546.5790360663,
"SVK","AVWAGE","TOT","USD","A","2022",26262.8435293797,
"ESP","AVWAGE","TOT","USD","A","2010",46538,
"ESP","AVWAGE","TOT","USD","A","2011",45707,
"ESP","AVWAGE","TOT","USD","A","2012",44427,
"ESP","AVWAGE","TOT","USD","A","2013",44431,
"ESP","AVWAGE","TOT","USD","A","2014",44294,
"ESP","AVWAGE","TOT","USD","A","2015",44957,
"ESP","AVWAGE","TOT","USD","A","2016",44704,
"ESP","AVWAGE","TOT","USD","A","2017",44123,
"ESP","AVWAGE","TOT","USD","A","2018",43975,
"ESP","AVWAGE","TOT","USD","A","2019",44448,
"ESP","AVWAGE","TOT","USD","A","2020",43828,
"ESP","AVWAGE","TOT","USD","A","2021",44443.8899670243,
"ESP","AVWAGE","TOT","USD","A","2022",42859.3360397206,
"EST","AVWAGE","TOT","USD","A","2010",24461,
"EST","AVWAGE","TOT","USD","A","2011",23907,
"EST","AVWAGE","TOT","USD","A","2012",24256,
"EST","AVWAGE","TOT","USD","A","2013",24859,
"EST","AVWAGE","TOT","USD","A","2014",26232,
"EST","AVWAGE","TOT","USD","A","2015",27434,
"EST","AVWAGE","TOT","USD","A","2016",28837,
"EST","AVWAGE","TOT","USD","A","2017",29500,
"EST","AVWAGE","TOT","USD","A","2018",31391,
"EST","AVWAGE","TOT","USD","A","2019",33006,
"EST","AVWAGE","TOT","USD","A","2020",35128,
"EST","AVWAGE","TOT","USD","A","2021",37317.8229724108,
"EST","AVWAGE","TOT","USD","A","2022",34704.5715238033,
"SVN","AVWAGE","TOT","USD","A","2010",42846,
"SVN","AVWAGE","TOT","USD","A","2011",42725,
"SVN","AVWAGE","TOT","USD","A","2012",41437,
"SVN","AVWAGE","TOT","USD","A","2013",40760,
"SVN","AVWAGE","TOT","USD","A","2014",41576,
"SVN","AVWAGE","TOT","USD","A","2015",42482,
"SVN","AVWAGE","TOT","USD","A","2016",44095,
"SVN","AVWAGE","TOT","USD","A","2017",44894,
"SVN","AVWAGE","TOT","USD","A","2018",45702,
"SVN","AVWAGE","TOT","USD","A","2019",47050,
"SVN","AVWAGE","TOT","USD","A","2020",48605,
"SVN","AVWAGE","TOT","USD","A","2021",50466.6879441415,
"SVN","AVWAGE","TOT","USD","A","2022",47203.6274349093,
"LVA","AVWAGE","TOT","USD","A","2010",22140,
"LVA","AVWAGE","TOT","USD","A","2011",21373,
"LVA","AVWAGE","TOT","USD","A","2012",22240,
"LVA","AVWAGE","TOT","USD","A","2013",23301,
"LVA","AVWAGE","TOT","USD","A","2014",24864,
"LVA","AVWAGE","TOT","USD","A","2015",26944,
"LVA","AVWAGE","TOT","USD","A","2016",28523,
"LVA","AVWAGE","TOT","USD","A","2017",29546,
"LVA","AVWAGE","TOT","USD","A","2018",30640,
"LVA","AVWAGE","TOT","USD","A","2019",31972,
"LVA","AVWAGE","TOT","USD","A","2020",33199,
"LVA","AVWAGE","TOT","USD","A","2021",35923.0630482097,
"LVA","AVWAGE","TOT","USD","A","2022",34136.1548723268,
