LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,INDEX
AUT,AVWAGE,TOT,USD,A,2011,62159,98.3046290585314
AUT,AVWAGE,TOT,USD,A,2012,62515,98.8676440353624
AUT,AVWAGE,TOT,USD,A,2013,62568,98.9514636807895
AUT,AVWAGE,TOT,USD,A,2014,62801,99.3199538201199
AUT,AVWAGE,TOT,USD,A,2015,63231,100
AUT,AVWAGE,TOT,USD,A,2016,63860,100.994765225918
AUT,AVWAGE,TOT,USD,A,2017,63856,100.988439214942
AUT,AVWAGE,TOT,USD,A,2018,64101,101.375907387199
AUT,AVWAGE,TOT,USD,A,2019,64623,102.201451819519
AUT,AVWAGE,TOT,USD,A,2020,64648,102.240989388117
AUT,AVWAGE,TOT,USD,A,2021,65402,103.433442457023
AUT,AVWAGE,TOT,USD,A,2022,63801,100.901456564027
BEL,AVWAGE,TOT,USD,A,2011,63944,98.3496623959887
BEL,AVWAGE,TOT,USD,A,2012,64461,99.1448390420967
BEL,AVWAGE,TOT,USD,A,2013,65099,100.126120860698
BEL,AVWAGE,TOT,USD,A,2014,65461,100.682898318901
BEL,AVWAGE,TOT,USD,A,2015,65017,100
BEL,AVWAGE,TOT,USD,A,2016,65157,100.215328298753
BEL,AVWAGE,TOT,USD,A,2017,64700,99.512435209253
BEL,AVWAGE,TOT,USD,A,2018,65083,100.101511912269
BEL,AVWAGE,TOT,USD,A,2019,65700,101.050494486057
BEL,AVWAGE,TOT,USD,A,2020,63677,97.9390005690819
BEL,AVWAGE,TOT,USD,A,2021,65520,100.773643816233
BEL,AVWAGE,TOT,USD,A,2022,64847,99.7385299229432
FIN,AVWAGE,TOT,USD,A,2011,49925,100.178585761297
FIN,AVWAGE,TOT,USD,A,2012,49965,100.258849024801
FIN,AVWAGE,TOT,USD,A,2013,49465,99.2555582309977
FIN,AVWAGE,TOT,USD,A,2014,49449,99.223452925596
FIN,AVWAGE,TOT,USD,A,2015,49836,100
FIN,AVWAGE,TOT,USD,A,2016,50274,100.878882735372
FIN,AVWAGE,TOT,USD,A,2017,49985,100.298980656553
FIN,AVWAGE,TOT,USD,A,2018,50354,101.039409262381
FIN,AVWAGE,TOT,USD,A,2019,50873,102.080825106349
FIN,AVWAGE,TOT,USD,A,2020,51092,102.520266474035
FIN,AVWAGE,TOT,USD,A,2021,52785,105.917409101854
FIN,AVWAGE,TOT,USD,A,2022,51835,104.011156593627
FRA,AVWAGE,TOT,USD,A,2011,49836,96.9289117961684
FRA,AVWAGE,TOT,USD,A,2012,50159,97.5571331323544
FRA,AVWAGE,TOT,USD,A,2013,50581,98.3779052805601
FRA,AVWAGE,TOT,USD,A,2014,50929,99.0547505591753
FRA,AVWAGE,TOT,USD,A,2015,51415,100
FRA,AVWAGE,TOT,USD,A,2016,52010,101.157249829816
FRA,AVWAGE,TOT,USD,A,2017,52732,102.561509287173
FRA,AVWAGE,TOT,USD,A,2018,52664,102.429252163765
FRA,AVWAGE,TOT,USD,A,2019,53172,103.417290673928
FRA,AVWAGE,TOT,USD,A,2020,50550,98.3176115919479
FRA,AVWAGE,TOT,USD,A,2021,52542,102.191967324711
FRA,AVWAGE,TOT,USD,A,2022,52763,102.621802975785
DEU,AVWAGE,TOT,USD,A,2011,53980,93.9910501297209
