GENESIS-Tabelle: 62361-0020
Reallohnindex, Nominallohnindex: Deutschland, Jahre;;;;
Verdiensterhebung;;;;
Deutschland;;;;
;Reallohnindex;Veränderung zum Vorjahr;Nominallohnindex;Veränderung zum Vorjahr
;2022=100;in (%);2022=100;in (%)
2007;93,2;.;71,7;.
2008;93,5;0,3;73,8;2,9
2009;93,4;-0,1;73,9;0,1
2010;94,9;1,6;75,8;2,6
2011;95,8;0,9;78,3;3,3
2012;96,5;0,7;80,3;2,6
2013;96,3;-0,2;81,4;1,4
2014;98,0;1,8;83,6;2,7
2015;100,1;2,1;85,9;2,8
2016;102,0;1,9;87,9;2,3
2017;103,0;1,0;90,1;2,5
2018;104,4;1,4;92,9;3,1
2019;105,5;1,1;95,3;2,6
2020;104,3;-1,1;94,6;-0,7
2021;104,2;-0,1;97,5;3,1
2022;100,0;-4,0;100,0;2,6
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 08.10.2023 / 22:51:48
